STATE,ZIPCODE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
AL,35180,5600,294674,52.62035714,5600,297411,53.10910714,4430,188298,42.50519187
AL,35183,300,12133,40.44333333,300,12175,40.58333333,220,7324,33.29090909
AL,35184,2110,89451,42.39383886,2110,90262,42.77819905,1580,52178,33.02405063
AL,35186,1970,118932,60.3715736,1970,120066,60.94720812,1550,79030,50.98709677
AL,35188,1120,59772,53.36785714,1120,60178,53.73035714,890,38118,42.82921348
AL,35203,1310,109827,83.83740458,1310,114433,87.35343511,920,82198,89.34565217
AL,35204,4020,93966,23.37462687,4020,94598,23.5318408,2190,38226,17.45479452
AL,35205,7930,398679,50.27477932,7930,405679,51.15750315,5820,279922,48.09656357
AL,35206,6900,200134,29.00492754,6900,201727,29.2357971,4240,96325,22.71816038
AL,35207,3540,85395,24.12288136,3540,86038,24.30451977,1910,33533,17.5565445
AL,35208,6340,171827,27.10205047,6340,173117,27.3055205,3910,77411,19.79820972
AL,35209,12310,956536,77.7039805,12310,973661,79.09512591,9590,688923,71.83764338
AL,35210,6670,340907,51.11049475,6670,345133,51.74407796,5120,221112,43.1859375
AL,35211,11600,332466,28.66086207,11600,335469,28.91974138,6930,164984,23.80721501
AL,35212,5000,153484,30.6968,5000,155232,31.0464,2820,79491,28.18829787
AL,35213,6760,1262251,186.7235207,6760,1293991,191.418787,5940,1032407,173.8058923
AL,35214,8440,308253,36.5228673,8440,310656,36.80758294,6040,169209,28.0147351
AL,35215,20360,669196,32.86817289,20360,674208,33.11434185,13470,338505,25.13028953
AL,35216,17050,1313976,77.06604106,17050,1336734,78.40082111,13290,952700,71.6854778
AL,35217,5430,167055,30.76519337,5430,168465,31.02486188,3300,80471,24.38515152
AL,35218,2880,67873,23.56701389,2880,68477,23.77673611,1610,26230,16.29192547
AL,35221,2000,51462,25.731,2000,51848,25.924,1230,22896,18.61463415
AL,35222,3810,280262,73.55958005,3810,287060,75.34383202,2970,209070,70.39393939
AL,35223,5250,1396468,265.9939048,5250,1431781,272.7201905,4610,1129101,244.924295
AL,35224,2340,66840,28.56410256,2340,67327,28.77222222,1460,31696,21.70958904
AL,35226,15860,1410952,88.9629256,15860,1434059,90.41986129,13410,1040720,77.60775541
AL,35228,4550,128089,28.15142857,4550,129068,28.36659341,2900,58390,20.13448276
AL,35233,520,36318,69.84230769,520,37351,71.82884615,400,28310,70.775
AL,35234,2210,49911,22.5841629,2210,50361,22.78778281,1250,18945,15.156
AL,35235,9180,386631,42.11666667,9180,390284,42.51459695,7080,227392,32.11751412
AL,35242,24670,2944244,119.3451155,24670,2995352,121.4167815,20820,2297535,110.3523055
AL,35243,9310,1115785,119.8480129,9310,1139819,122.4295381,8000,876746,109.59325
AL,35244,15660,1413328,90.25083014,15660,1435864,91.6899106,13130,1050964,80.04295506
AL,35401,9900,312225,31.53787879,9900,315953,31.91444444,5890,169743,28.8188455
AL,35404,7750,288455,37.22,7750,291806,37.6523871,5240,168218,32.10267176
AL,35405,17620,813154,46.14948922,17620,822156,46.66038593,13040,506757,38.86173313
AL,35406,6420,755462,117.6732087,6420,770259,119.9780374,5420,577420,106.5350554
AL,35441,440,16565,37.64772727,440,16680,37.90909091,320,9281,29.003125
AL,35442,1970,68912,34.98071066,1970,69990,35.52791878,1180,37440,31.72881356
AL,35443,690,20480,29.68115942,690,20633,29.90289855,410,9073,22.12926829
AL,35444,1470,76290,51.89795918,1470,76844,52.27482993,1130,45182,39.9840708
AL,35446,800,35167,43.95875,800,35485,44.35625,600,21076,35.12666667
AL,35447,1320,47861,36.25833333,1320,48301,36.59166667,880,25953,29.49204545
AL,35452,1570,74530,47.47133758,1570,75188,47.89044586,1200,45633,38.0275
AL,35453,4780,212925,44.54497908,4780,215000,44.9790795,3590,128326,35.7454039
AL,35456,1840,77373,42.05054348,1840,78127,42.46032609,1340,46041,34.35895522
AL,35458,240,10354,43.14166667,240,10422,43.425,190,5615,29.55263158
AL,35459,350,12192,34.83428571,350,12435,35.52857143,270,6325,23.42592593
AL,35460,240,6889,28.70416667,240,6960,29,130,3254,25.03076923
AL,35461,690,29390,42.5942029,690,29641,42.95797101,520,16911,32.52115385
AL,35462,2010,69290,34.47263682,2010,69863,34.75771144,1230,35508,28.86829268
AL,35463,830,35319,42.55301205,830,35641,42.94096386,590,20812,35.27457627
AL,35464,250,6203,24.812,250,6271,25.084,130,2544,19.56923077
AL,35466,2250,104379,46.39066667,2250,105205,46.75777778,1680,63514,37.80595238
AL,35469,120,4742,39.51666667,120,4803,40.025,80,2651,33.1375
AL,35470,1980,83328,42.08484848,1980,84246,42.54848485,1320,51141,38.74318182
AL,35473,6900,375595,54.43405797,6900,380108,55.08811594,5510,249079,45.20490018
AL,35474,2750,124280,45.19272727,2750,125246,45.544,2120,74081,34.94386792
AL,35475,6430,457908,71.21430793,6430,462776,71.97138414,5370,320508,59.6849162
AL,35476,3900,146185,37.48333333,3900,147811,37.90025641,2550,82761,32.45529412
AL,35480,650,31298,48.15076923,650,31530,48.50769231,510,18919,37.09607843
AL,35481,1300,51119,39.32230769,1300,51598,39.69076923,900,29296,32.55111111
AL,35490,1710,87381,51.1,1710,88127,51.53625731,1320,55228,41.83939394
AL,35501,3830,146522,38.25639687,3830,148052,38.65587467,2460,81940,33.30894309
AL,35503,3340,153534,45.96826347,3340,154787,46.34341317,2400,94577,39.40708333
AL,35504,5040,302742,60.06785714,5040,306016,60.71746032,3900,206238,52.88153846
AL,35540,930,35331,37.99032258,930,35742,38.43225806,650,19528,30.04307692
AL,35541,1240,65293,52.65564516,1240,66325,53.48790323,910,41385,45.47802198
AL,35542,440,18171,41.29772727,440,18322,41.64090909,310,10319,33.28709677
AL,35543,370,12016,32.47567568,370,12196,32.96216216,240,5940,24.75
AL,35544,250,8764,35.056,250,8818,35.272,170,4781,28.12352941
AL,35546,1440,62441,43.36180556,1440,62873,43.66180556,1060,37223,35.11603774
AL,35548,600,20433,34.055,600,20699,34.49833333,380,10775,28.35526316
AL,35549,1360,50024,36.78235294,1360,50390,37.05147059,940,27681,29.44787234
AL,35550,1910,81078,42.44921466,1910,81603,42.72408377,1380,48533,35.16884058
AL,35552,360,13210,36.69444444,360,13314,36.98333333,240,6859,28.57916667
AL,35553,1700,66613,39.18411765,1700,67385,39.63823529,1180,37322,31.62881356
AL,35554,390,17106,43.86153846,390,17531,44.95128205,280,10177,36.34642857
AL,35555,3750,153826,41.02026667,3750,155645,41.50533333,2580,89688,34.7627907
AL,35563,1550,67872,43.7883871,1550,68740,44.3483871,1090,40512,37.16697248
AL,35564,800,26313,32.89125,800,26649,33.31125,530,13519,25.50754717
AL,35565,4880,185708,38.05491803,4880,188695,38.6670082,3210,103379,32.20529595
AL,35570,3890,150196,38.61079692,3890,151830,39.03084833,2630,82672,31.43422053
AL,35571,320,12244,38.2625,320,12352,38.6,220,6467,29.39545455
